neighbourhood_name,neighbourhood_latitude,neighbourhood_longitude,venue,venue_id,venue_category
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Cineplex Odeon Yonge & Dundas Cinemas,10024,Movie Theater
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Bosk,13072,Asian Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,HotBlack Coffee,13034,Café
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Cafe Landwer,13034,Café
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Dineen Coffee Co,13034,Café
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Lobby Lounge at the Shangri-La Toronto,13016,Lounge
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Momofuku Noodle Bar,13099,Chinese Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Sud Forno,13002,Bakery
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Blaze Pizza,13064,Pizzeria
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Ikkousha Ramen,13272,Ramen Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,JaBistro,13276,Sushi Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,The Queen and Beaver Public House,13003,Bar
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,La Bettola Di Terroni,13064,Pizzeria
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Chipotle Mexican Grill,13145,Fast Food Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,King Taps,13065,Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Brick Street Bakery,13002,Bakery
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Aviva Centre,18000,Sports and Recreation
Bay-Cloverhill,43.66489876744059,-79.3889512636448,Bar Volo,13006,Beer Bar
Bay-Cloverhill,43.66489876744059,-79.3889512636448,Queen's Park,16032,Park
Bay-Cloverhill,43.66489876744059,-79.3889512636448,The Alley,13033,Bubble Tea Shop
Bay-Cloverhill,43.66489876744059,-79.3889512636448,Como En Casa,13303,Mexican Restaurant
Bay-Cloverhill,43.66489876744059,-79.3889512636448,Sansotei Ramen,13272,Ramen Restaurant
Bay-Cloverhill,43.66489876744059,-79.3889512636448,DanceLife X Centre,18025,Dance Studio
Bay-Cloverhill,43.66489876744059,-79.3889512636448,YMCA,18021,Gym and Studio
Bay-Cloverhill,43.66489876744059,-79.3889512636448,Nando's Peri-Peri,13065,Restaurant
Bay-Cloverhill,43.66489876744059,-79.3889512636448,T-Swirl Crepe,13041,Creperie
Bay-Cloverhill,43.66489876744059,-79.3889512636448,New Yorker Deli,11057,Caterer
Bay-Cloverhill,43.66489876744059,-79.3889512636448,Bay Street Video,17137,Video Store
Bay-Cloverhill,43.66489876744059,-79.3889512636448,Toronto Hemp Co,17134,Tobacco Store
Bay-Cloverhill,43.66489876744059,-79.3889512636448,7 West Cafe,13034,Café
Bay-Cloverhill,43.66489876744059,-79.3889512636448,Wish,13031,Burger Joint
Bay-Cloverhill,43.66489876744059,-79.3889512636448,Hart House Theatre,10039,Music Venue
Bay-Cloverhill,43.66489876744059,-79.3889512636448,Gardiner Museum,10027,Museum
Bay-Cloverhill,43.66489876744059,-79.3889512636448,Constantine,13302,Mediterranean Restaurant
Bay-Cloverhill,43.66489876744059,-79.3889512636448,Gallery Grill,13049,Diner
Bay-Cloverhill,43.66489876744059,-79.3889512636448,University of Toronto Art Centre,10004,Art Gallery
Bay-Cloverhill,43.66489876744059,-79.3889512636448,Justina M. Barnicke Gallery,10004,Art Gallery
Bendale-Glen Andrew,43.7664320709418,-79.25996752273943,Wings & Wings,17057,Food and Beverage Retail
Bendale-Glen Andrew,43.7664320709418,-79.25996752273943,Domino's Pizza,13064,Pizzeria
Bendale-Glen Andrew,43.7664320709418,-79.25996752273943,Fish Joy,13049,Diner
Bendale-Glen Andrew,43.7664320709418,-79.25996752273943,Tim Hortons,13065,Restaurant
Bendale-Glen Andrew,43.7664320709418,-79.25996752273943,My Vida,11064,Hair Salon
Bendale-Glen Andrew,43.7664320709418,-79.25996752273943,Birkdale Community Ctr,12004,Community Center
Bendale-Glen Andrew,43.7664320709418,-79.25996752273943,Nick's Auto Tech,11010,Automotive Repair Shop
Bendale-Glen Andrew,43.7664320709418,-79.25996752273943,Access Storage - Scarborough Town Centre,11165,Storage Facility
Bendale-Glen Andrew,43.7664320709418,-79.25996752273943,Birkdale Ravine,16039,Urban Park
